港台,#genre#
HOY资讯台,https://cdn.qd.je/163189/hoy78
RTHK31,https://cdn.qd.je/163189/rthk31
NOW新闻台,https://cdn.qd.je/163189/now
RTHK32,https://cdn.qd.je/163189/rthk32
澳视澳门,https://cdn.qd.je/163189/asam
澳视卫星,https://cdn.qd.je/163189/as
澳门体育,https://cdn.qd.je/163189/amty
澳门综艺,https://cdn.qd.je/163189/amzy
澳门莲花,https://cdn.qd.je/163189/amlh
重温经典,https://cdn.qd.je/163189/cwjd
凤凰香港,https://cdn.qd.je/163189/fhhk
凤凰资讯,https://cdn.qd.je/163189/fhzx
TVB1,https://cdn.qd.je/163189/tvb1
TVBJ1,https://cdn.qd.je/163189/j1
翡翠剧集台,https://cdn.qd.je/163189/tvbd
翡翠台,https://cdn.qd.je/163189/fct
翡翠台(字幕),https://cdn.qd.je/163189/fct2
明珠台(字幕),https://cdn.qd.je/163189/mzt
无线新闻台,https://cdn.qd.je/163189/wxxw
广东珠江,https://cdn.qd.je/163189/gdzj
广东体育,https://cdn.qd.je/163189/gdty
CH5,https://cdn.qd.je/163189/ch5
八度空间,https://cdn.qd.je/163189/8tv
CH8,https://cdn.qd.je/163189/ch8
CHU,https://cdn.qd.je/163189/chu
龙华电影,https://cdn.qd.je/163189/lhdy
龙华经典,https://cdn.qd.je/163189/lhjd
龙华偶像,https://cdn.qd.je/163189/lhox
龙华日韩,https://cdn.qd.je/163189/lhrh
龙华洋片,https://cdn.qd.je/163189/lhyp
龙华戏剧,https://cdn.qd.je/163189/lhxj
金光布袋戏,https://cdn.qd.je/163189/jgbdx
龙华卡通,https://cdn.qd.je/163189/lhkt
华丽翡翠台,https://cdn.qd.je/163189/hlfct
TVB亚洲武侠,https://cdn.qd.je/163189/yzwx
TVB娱乐新闻台,https://cdn.qd.je/163189/ylxw
无线新闻台,https://cdn.qd.je/163189/wxxwt
TVB星河,https://cdn.qd.je/163189/tvbxh
海峡卫视,https://cdn.qd.je/163189/hxws2
华丽翡翠台,https://cdn.qd.je/163189/hlt
华丽翡翠台(硬字幕),https://cdn.qd.je/163189/jade
华丽翡翠台(新加坡),https://cdn.qd.je/163189/jade2
AstroAOD,https://cdn.qd.je/163189/aod
Astro欢喜台,https://cdn.qd.je/163189/hxt
爱奇艺,https://cdn.qd.je/163189/iqiyi
天映频道,https://cdn.qd.je/163189/typd2
天映经典,https://cdn.qd.je/163189/ccm2
TVB星河,https://cdn.qd.je/163189/tvbxh2
千禧经典台,https://cdn.qd.je/163189/tvbc
重温经典,https://cdn.qd.je/163189/cwjd2
广州综合,https://cdn.qd.je/163189/gzzh
广州新闻,https://cdn.qd.je/163189/gzxw
广州南国都市,https://cdn.qd.je/163189/ngds
民视影剧台,https://cdn.qd.je/163189/msyj
五星体育,https://cdn.qd.je/163189/wxty
采昌影剧台,https://cdn.qd.je/163189/ccyj
靖天映画,https://cdn.qd.je/163189/jtyh
公视戏剧,https://cdn.qd.je/163189/gsxj
靖天戏剧台,https://cdn.qd.je/163189/jtxj
靖天电影台,https://cdn.qd.je/163189/jtdy
影迷数位电影台,https://cdn.qd.je/163189/ymswdyt
amc电影台,https://cdn.qd.je/163189/amc
CinemaWorld,https://cdn.qd.je/163189/cinemaworld
靖洋戏剧台,https://cdn.qd.je/163189/jyxj
MyCinemaEurope,https://cdn.qd.je/163189/mce
经典电影台,https://cdn.qd.je/163189/jddyt
CMusic,https://cdn.qd.je/163189/cmusic
DreamWorks梦工厂动画,https://cdn.qd.je/163189/dreamworks
精选动漫台,https://cdn.qd.je/163189/jxdmt
TVBPlus,https://cdn.qd.je/163189/tvbp2
金光布袋戏,https://cdn.qd.je/163189/jgbdx2
纬来电影台,https://cdn.qd.je/163189/wldy
纬来戏剧台,https://cdn.qd.je/163189/wlxj
龙祥时代,https://cdn.qd.je/163189/lxsd
东森电影,https://cdn.qd.je/163189/dsdy
纬来体育台,https://cdn.qd.je/163189/wlty
东森洋片,https://cdn.qd.je/163189/dsyp
东森戏剧,https://cdn.qd.je/163189/dsxj
中天新闻,http://111.0.115.129:8081/live/222ztxw.m3u8
中天新闻,http://safe.shanghairta.com:8081/live/555ztxw.m3u8
TVBS新闻,http://jnzq.ohoyee.com:9080/live/332332-tvbsxw.m3u8
寰宇新闻,http://jnzq.ohoyee.com:9080/live/332332-hyxw.m3u8


央卫,#genre#
CCTV1,http://47.119.24.76:59093/608807420
CCTV2,http://47.119.24.76:59093/631780532
CCTV3,http://47.119.24.76:59093/624878271
CCTV4,http://47.119.24.76:59093/631780421
CCTV5,http://47.119.24.76:59093/641886683
CCTV5+,http://47.119.24.76:59093/641886773
CCTV6,http://47.119.24.76:59093/624878396
CCTV7,http://47.119.24.76:59093/673168121
CCTV8,http://47.119.24.76:59093/624878356
CCTV9,http://47.119.24.76:59093/673168140
CCTV10,http://47.119.24.76:59093/624878405
CCTV11,http://47.119.24.76:59093/667987558
CCTV12,http://47.119.24.76:59093/673168185
CCTV13,http://47.119.24.76:59093/608807423
CCTV14,http://47.119.24.76:59093/624878440
CCTV15,http://47.119.24.76:59093/673168223
CCTV17,http://47.119.24.76:59093/673168256
CCTV4欧洲,http://47.119.24.76:59093/608807419
CCTV4美洲,http://47.119.24.76:59093/608807416
CGTN外语纪录,http://47.119.24.76:59093/609006487
CGTN阿拉伯语,http://47.119.24.76:59093/609154345
CGTN西班牙语,http://47.119.24.76:59093/609006450
CGTN法语,http://47.119.24.76:59093/609006476
CGTN俄语,http://47.119.24.76:59093/609006446
老故事,http://47.119.24.76:59093/884121956
发现之旅,http://47.119.24.76:59093/624878970
中学生,http://47.119.24.76:59093/708869532
CGTN,http://47.119.24.76:59093/609017205
赛事最经典,http://47.119.24.76:59093/646596895
体坛名栏汇,http://47.119.24.76:59093/629943305
四海钓鱼,http://47.119.24.76:59093/637444975
陕西体育休闲频道,http://47.119.24.76:59093/956909356
24小时城市联赛轮播台,http://47.119.24.76:59093/915512915
武术世界,http://47.119.24.76:59093/958475359
快乐垂钓,http://47.119.24.76:59093/961930263
东方卫视,http://47.119.24.76:59093/651632648
江苏卫视,http://47.119.24.76:59093/623899368
广东卫视,http://47.119.24.76:59093/608831231
北京卫视,http://47.119.24.76:59093/630287636
辽宁卫视,http://47.119.24.76:59093/630291707
河北卫视,http://47.119.24.76:59093/962042070
江西卫视,http://47.119.24.76:59093/783847495
河南卫视,http://47.119.24.76:59093/790187291
陕西卫视,http://47.119.24.76:59093/738910838
大湾区卫视,http://47.119.24.76:59093/608917627
湖北卫视,http://47.119.24.76:59093/947472496
